Tahun,KasusDBD,Tavg,RHavg,ss
2012-01,436.00,23.06,77.55,2.80
2012-02,493.00,23.50,78.69,6.33
2012-03,519.00,23.50,74.48,5.33
2012-04,482.00,24.00,81.00,3.00
2012-05,573.00,23.60,77.23,6.75
2012-06,537.00,23.50,74.50,6.57
2012-07,454.00,22.40,71.16,6.80
2012-08,342.00,24.00,66.58,7.57
2012-09,266.00,23.50,66.70,6.40
2012-10,261.00,25.00,74.25,6.75
2012-11,321.00,22.50,82.90,3.33
2012-12,412.00,24.00,83.48,5.00
2013-01,702.00,21.00,79.35,6.00
2013-02,574.00,23.00,79.89,5.00
2013-03,476.00,23.82,79.10,4.60
2013-04,601.00,23.00,82.30,3.20
2013-05,593.00,24.00,81.90,4.33
2013-06,560.00,24.00,78.03,4.71
2013-07,540.00,22.00,77.26,4.33
2013-08,405.00,22.60,70.53,7.86
2013-09,360.00,23.50,66.70,6.40
2013-10,320.00,24.00,68.25,6.00
2013-11,250.00,23.00,75.25,7.00
2013-12,355.00,24.67,77.88,1.80
2014-01,394.00,22.67,80.07,2.36
2014-02,350.00,25.00,75.35,2.00
2014-03,392.00,25.00,78.71,2.67
2014-04,361.00,26.00,76.46,4.00
2014-05,352.00,24.75,78.52,4.75
2014-06,287.00,23.00,80.37,3.20
2014-07,221.00,23.20,78.61,5.25
2014-08,201.00,23.75,74.26,6.00
2014-09,205.00,23.50,65.33,10.00
2014-10,169.00,24.33,68.39,7.50
2014-11,129.00,24.00,80.72,4.00
2014-12,71.00,23.50,80.28,1.00
2015-01,356.00,23.14,79.54,1.00
2015-02,462.00,24.33,81.15,3.75
2015-03,439.00,24.00,79.93,5.00
2015-04,425.00,23.60,79.60,3.17
2015-05,544.00,23.33,77.75,3.00
2015-06,477.00,23.00,74.17,9.00
2015-07,375.00,23.00,70.67,7.67
2015-08,172.00,24.50,66.77,9.00
2015-09,101.00,24.00,64.25,6.00
2015-10,89.00,24.80,62.55,8.78
2015-11,99.00,24.40,79.50,3.67
2015-12,101.00,23.00,81.58,3.00
2016-01,424.00,23.94,81.35,4.23
2016-02,499.00,24.13,80.72,3.66
2016-03,422.00,24.12,82.77,3.77
2016-04,380.00,24.03,83.83,4.34
2016-05,577.00,24.07,82.90,4.68
2016-06,481.00,23.67,79.10,4.86
2016-07,347.00,23.36,79.07,6.17
2016-08,210.00,23.60,75.45,6.19
2016-09,107.00,23.66,79.83,4.83
2016-10,118.00,23.14,82.48,3.16
2016-11,192.00,23.40,83.70,3.40
2016-12,123.00,24.41,73.03,3.91
2017-01,257.00,24.25,74.39,4.98
2017-02,149.00,23.04,81.32,3.83
2017-03,146.00,23.40,80.32,4.34
2017-04,139.00,23.68,81.37,4.21
2017-05,149.00,23.98,77.47,5.70
2017-06,175.00,23.43,78.83,4.52
2017-07,130.00,23.35,81.00,7.00
2017-08,91.00,23.33,71.06,7.09
2017-09,96.00,24.00,71.10,6.07
2017-10,115.00,23.66,80.10,4.65
2017-11,147.00,23.22,81.87,3.29
2017-12,192.00,23.97,76.42,4.16
2018-01,250.00,23.31,77.61,2.87
2018-02,184.00,23.60,79.29,5.30
2018-03,263.00,23.55,80.03,4.58
2018-04,308.00,23.72,79.43,4.94
2018-05,416.00,23.82,75.93,6.49
2018-06,396.00,23.71,75.80,6.68
2018-07,269.00,22.85,67.19,8.30
2018-08,165.00,23.34,69.06,7.42
2018-09,131.00,23.79,66.53,6.38
2018-10,120.00,24.21,70.94,5.73
2018-11,131.00,23.69,81.50,3.92
2018-12,193.00,23.87,80.42,3.56
2019-01,834.00,23.68,79.68,4.27
2019-02,616.00,23.84,80.96,4.96
2019-03,664.00,23.65,80.39,3.78
2019-04,548.00,23.96,82.73,5.13
2019-05,539.00,23.84,78.65,6.30
2019-06,389.00,23.32,72.20,7.23
2019-07,301.00,22.90,69.87,7.73
2019-08,131.00,23.04,66.03,7.73
2019-09,86.00,23.84,64.80,7.69
2019-10,85.00,24.87,63.94,6.57
2019-11,96.00,24.20,74.40,5.39
2019-12,135.00,23.74,82.90,3.85
2020-01,248.00,23.98,81.29,3.55
2020-02,330.00,23.62,83.69,2.69
2020-03,479.00,24.05,81.13,4.05
2020-04,409.00,23.98,82.07,5.04
2020-05,365.00,24.04,81.74,4.41
2020-06,335.00,23.84,76.20,6.12
2020-07,209.00,23.06,73.55,6.37
2020-08,107.00,23.84,73.06,6.49
2020-09,77.00,24.26,68.76,6.79
2020-10,60.00,23.81,77.94,4.63
2020-11,74.00,24.00,77.43,4.67
2020-12,97.00,23.79,77.32,3.83
2021-01,177.00,23.32,80.10,3.11
2021-02,152.00,23.48,80.18,3.90
2021-03,167.00,23.65,80.29,4.72
2021-04,194.00,23.72,77.37,5.86
2021-05,311.00,24.09,79.26,5.74
2021-06,273.00,23.49,80.33,5.06
2021-07,242.00,23.14,72.94,7.24
2021-08,366.00,23.48,73.23,6.28
2021-09,347.00,23.84,74.70,5.22
2021-10,344.00,23.95,78.61,4.65
2021-11,475.00,23.43,82.93,3.40
2021-12,695.00,23.76,83.13,4.10
